qid,audit_scope,error_type,stratum,stratum_population_n,stratum_sample_n,sample_weight,probability,prediction,label,judge_label,judge_true,alias_match,prob_rank_bin_within_error_type,question,response,official_aliases_raw,official_aliases_normalized,human_binary_label,human_score,attribution,notes
550ea8f1b305b40c5c000005,FN_census,FN,FN_alias_false,58,58,1.0,0.4999672896052562,0,1,false,False,False,Q4_high,Pridopidine has been tested for treatment of which disorder?,Essential tremor,Huntington disease,huntington disease,incorrect,incorrect,detector_miss,Response is materially different from the benchmark answer.
5a9d8d691d1251d03b000020,FN_census,FN,FN_alias_false,58,58,1.0,0.49946643219983666,0,1,false,False,False,Q4_high,What is the association of the protein RAB10 and Alzheimers disease?,RAB10 is associated with increased risk and severity of Alzheimer’s disease.,RAB10 may be potential biomarkers of AD,rab10 may be potential biomarkers of ad,correct,acceptable_paraphrase,judge_side_label_error,Faithful restatement of the AD-association / biomarker claim.
5509bd6a1180f13250000002,FN_census,FN,FN_alias_false,58,58,1.0,0.49944445447299196,0,1,false,False,False,Q4_high,What disease is small bowel lymphoma commonly associated with,Crohn’s disease,Celiac disease | gluten-associated enteropathy | CELIAC SPRU | Non tropical spru | Gluten Sensitive Enteropath,celiac disease | gluten associated enteropathy | celiac spru | non tropical spru | gluten sensitive enteropath,incorrect,incorrect,detector_miss,Response is materially different from the benchmark answer.
5e2a080caa19d7443100000a,FN_census,FN,FN_alias_false,58,58,1.0,0.49932309541482495,0,1,false,False,False,Q4_high,Through which molecular pathway does LB-100 reduce hepatic steatosis?,PPARα activation,AMPK/Sirt1 pathway,ampk sirt1 pathway,incorrect,incorrect,detector_miss,Response is materially different from the benchmark answer.
5e7f6971835f4e4777000020,FN_census,FN,FN_alias_false,58,58,1.0,0.4924643224047613,0,1,false,False,False,Q4_high,Which disease is ZP-PTH used for?,Hyperparathyroidism,Osteoporosis,osteoporosis,incorrect,incorrect,detector_miss,Response is materially different from the benchmark answer.
5a75f6e083b0d9ea66000009,FN_census,FN,FN_alias_false,58,58,1.0,0.4919075717909044,0,1,false,False,False,Q4_high,Which data simulator is available for CLIP-SEQ experiments?,CLIP-SEQ Simulator,Cseq-Simulator,cseq simulator,incorrect,incorrect,detector_miss,Response is materially different from the benchmark answer.
660999e7fdcbea915f00001c,FN_census,FN,FN_alias_false,58,58,1.0,0.4892967620039642,0,1,false,False,False,Q4_high,What is the most effective immunotherapy regimen in patients with MSI-H advanced colorectal cancer?,Pembrolizumab with chemotherapy.,Nivolumab plus ipilimumab | Nivolumab in combination with low-dose ipilimumab | Nivolumab plus low-dose ipilimumab | ipilimumab 1 mg/kg once every 3 weeks (four doses) followed by nivolumab | nivolumab 3 mg/kg plus ipilimumab,nivolumab plus ipilimumab | nivolumab in combination with low dose ipilimumab | nivolumab plus low dose ipilimumab | ipilimumab 1 mg kg once every 3 weeks four doses followed by nivolumab | nivolumab 3 mg kg plus ipilimumab,incorrect,incorrect,detector_miss,Response is materially different from the benchmark answer.
6440393157b1c7a31500004a,FN_census,FN,FN_alias_false,58,58,1.0,0.4887831537289583,0,1,false,False,False,Q4_high,Which year was XIPERE approved by the FDA?,2023,2021,2021,incorrect,incorrect,detector_miss,Response is materially different from the benchmark answer.
58da1aa08acda34529000012,FN_census,FN,FN_alias_false,58,58,1.0,0.485599037089633,0,1,false,False,False,Q4_high,Which protein is associated with hyperemesis gravidarum during pregrancy?,Serotonin,Human chorionic gonadotropin | hCG,human chorionic gonadotropin | hcg,incorrect,incorrect,detector_miss,Response is materially different from the benchmark answer.
532f0bd6d6d3ac6a3400002d,FN_census,FN,FN_alias_false,58,58,1.0,0.4855914157967766,0,1,false,False,False,Q4_high,What is the mode of inheritance of Marchesani syndrome?,Autosomal recessive,autosomal dominant or autosomal recessive,autosomal dominant or autosomal recessive,incorrect,incorrect,detector_miss,Response is materially different from the benchmark answer.
