qid,error_type,classifier_probability_hallucination,classifier_prediction,judge_label,human_binary_label,human_score,attribution,question,response,official_aliases_raw,official_aliases_normalized,notes
54d6562c3706e8952800000b,FP,0.840037,1,true,incorrect,incorrect,judge_side_label_error,Which is the enzymatic activity of the myotubularin family of proteins?,Phospholipid hydrolysis,lipid inositol phosphatase activity,lipid inositol phosphatase activity,Too broad; misses the inositol-phosphatase specificity.
51542dabd24251bc0500007d,FP,0.824536,1,true,correct,acceptable_paraphrase,detector_verbosity_bias,Which gene test can be used for the X-linked myotubular myopathy?,Mtm1,MTM1 gene test,mtm1 gene test,Gene symbol is a sufficient short answer to the named gene test.
6415b3b4690f196b51000009,FP,0.822027,1,true,correct,acceptable_paraphrase,detector_verbosity_bias,What color light does the the inhibitory receptor halorhodopsin (eNpHR) respond to?,Yellow-orange,yellow,yellow,Yellow-orange is directionally correct for a yellow-light answer.
606b648394d57fd879000069,FP,0.818914,1,true,correct,acceptable_paraphrase,detector_verbosity_bias,What is the origin of  HEp-2 cells?,Human epithelial cells from larynx carcinoma.,human larynx epidermoid carcinoma cell line,human larynx epidermoid carcinoma cell line,Same cell-line origin stated more descriptively.
5c6e0f537c78d6947100004a,FP,0.816329,1,true,correct,acceptable_paraphrase,detector_verbosity_bias,Which molecule is inhibited by larotrectinib?,TRK (Tropomyosin receptor kinase),tropomyosin receptor kinases,tropomyosin receptor kinases,TRK / tropomyosin receptor kinase is the same target family.
5ab90a79fcf456587200001b,FP,0.814803,1,true,correct,acceptable_paraphrase,detector_verbosity_bias,What drug treatment can cause a spinal epidural hematoma?,Heparin,Anticoagulant therapy,anticoagulant therapy,Heparin is a canonical anticoagulant; answer is specific rather than wrong.
5523e7837b523f2123000006,FP,0.794998,1,true,correct,acceptable_paraphrase,detector_verbosity_bias,What is Trypan blue used for?,"Staining cells, particularly in microscopy to assess cell viability and morphology.",cell viability - cell death assessment,cell viability cell death assessment,Verbose but semantically matches cell-viability assessment.
5503133ae9bde6963400001d,FP,0.786434,1,true,correct,acceptable_paraphrase,detector_verbosity_bias,Which gene is most commonly associated with severe congenital and cyclic neutropenia?,ELANE,The neutrophil elastase gene (ELANE),neutrophil elastase gene elane,ELANE is the core answer; alias only expands the gene name.
514a0f4ad24251bc05000053,FP,0.782924,1,true,correct,acceptable_paraphrase,detector_verbosity_bias,How many genes are in the gene signature screened by MammaPrint?,70,70 genes,70 genes,Cardinal number only; still answers the question.
5c9fb428ecadf2e73f000041,FP,0.777041,1,true,incorrect,incorrect,judge_side_label_error,Salivary Cortisol is a biomarker for what disease/syndrome/condition?,"Chronic stress, depression, anxiety, autoimmune diseases, sleep disorders.",stress,stress,Lists many extra conditions; not a clean answer to the alias set.
640c85e9201352f04a000026,FP,0.775802,1,true,correct,acceptable_paraphrase,detector_verbosity_bias,What cells proliferate in Mantle Cell Lymphoma,Small B-cell lymphocytes,B cells,b cells,B-cell lymphocytes is a faithful elaboration of B cells.
58f3ca5c70f9fc6f0f00000d,FP,0.774818,1,true,correct,acceptable_paraphrase,detector_verbosity_bias,The pathogen Fusarium graminearum affects what type of plant species?,"Wheat, barley, corn, oats, rye, and various other small grains and vegetables.",cereal crops,cereal crops,Enumerates cereal crops rather than naming the superclass.
5e31cceafbd6abf43b000052,FP,0.772136,1,true,incorrect,incorrect,judge_side_label_error,What is the chromosomal location of the LDL receptor gene associated with autosomal dominant Familial Hypercholesterolemia?,"Chromosome 19, 19q13.2",short arm of chromosome 19,short arm of chromosome 19,"19q13.2 is on the long arm, contradicting the alias."
51542e6fd24251bc05000082,FP,0.762992,1,true,incorrect,incorrect,judge_side_label_error,Which population has a high frequency of the HLA-B*1502 allele?,Southeast Asians,"Han Chinese and other Asian populations, except Japanese",han chinese and other asian populations except japanese,Southeast Asians is materially broader than the alias population.
